PIN,XC3S50AFT256,BANK,TYPE,DIFF_PAIR,ROW,COLUMN
A1,GND,GND,GND,,A,1
A2,PROG_B,VCCAUX,CONFIG,,A,2
A3,IO_L19P_0,0,I/O,TRUE,A,3
A4,IO_L18P_0,0,I/O,TRUE,A,4
A5,IO_L17P_0,0,I/O,TRUE,A,5
A6,IO_L15P_0,0,I/O,TRUE,A,6
A7,N.C.,N.C.,N.C.,,A,7
A8,IO_L12P_0/GCLK10,0,GCLK,TRUE,A,8
A9,IO_L10N_0/GCLK7,0,GCLK,TRUE,A,9
A10,IO_L08N_0,0,I/O,TRUE,A,10
A11,IO_L07N_0,0,I/O,TRUE,A,11
A12,N.C.,N.C.,N.C.,,A,12
A13,IO_L04N_0,0,I/O,TRUE,A,13
A14,IO_L04P_0,0,I/O,TRUE,A,14
A15,TCK,VCCAUX,JTAG,,A,15
A16,GND,GND,GND,,A,16
B1,TDI,VCCAUX,JTAG,,B,1
B2,TMS,VCCAUX,JTAG,,B,2
B3,IO_L19N_0,0,I/O,TRUE,B,3
B4,IO_L18N_0,0,I/O,TRUE,B,4
B5,VCCO_0,0,VCCO,,B,5
B6,IO_L15N_0,0,I/O,TRUE,B,6
B7,GND,GND,GND,,B,7
B8,IO_L12N_0/GCLK11,0,GCLK,TRUE,B,8
B9,VCCO_0,0,VCCO,,B,9
B10,IO_L08P_0,0,I/O,TRUE,B,10
B11,GND,GND,GND,,B,11
B12,IP_0,0,INPUT,,B,12
B13,VCCO_0,0,VCCO,,B,13
B14,IO_L02N_0,0,I/O,TRUE,B,14
B15,IO_L02P_0/VREF_0,0,VREF,TRUE,B,15
B16,TDO,VCCAUX,JTAG,,B,16
C1,IO_L01N_3,3,I/O,TRUE,C,1
C2,IO_L01P_3,3,I/O,TRUE,C,2
C3,GND,GND,GND,,C,3
C4,IO_L20P_0/VREF_0,0,VREF,TRUE,C,4
C5,IO_L17N_0,0,I/O,TRUE,C,5
C6,IO_L16N_0,0,I/O,TRUE,C,6
C7,N.C.,N.C.,N.C.,,C,7
C8,IO_L11P_0/GCLK8,0,GCLK,TRUE,C,8
C9,IO_L10P_0/GCLK6,0,GCLK,TRUE,C,9
C10,IO_L09P_0/GCLK4,0,GCLK,TRUE,C,10
C11,IO_L07P_0,0,I/O,TRUE,C,11
C12,IO_L03P_0,0,I/O,TRUE,C,12
C13,IO_L01N_0,0,I/O,TRUE,C,13
C14,GND,GND,GND,,C,14
C15,IO_L24N_1,1,I/O,TRUE,C,15
C16,IO_L24P_1,1,I/O,TRUE,C,16
D1,IO_L03P_3,3,I/O,TRUE,D,1
D2,VCCO_3,3,VCCO,,D,2
D3,IO_L02N_3,3,I/O,TRUE,D,3
D4,IO_L02P_3,3,I/O,TRUE,D,4
D5,IO_L20N_0/PUDC_B,0,DUAL,TRUE,D,5
D6,IP_0,0,INPUT,,D,6
D7,IO_L16P_0,0,I/O,TRUE,D,7
D8,IO_L11N_0/GCLK9,0,GCLK,TRUE,D,8
D9,IO_L09N_0/GCLK5,0,GCLK,TRUE,D,9
D10,N.C.,N.C.,N.C.,,D,10
D11,IO_L03N_0,0,I/O,TRUE,D,11
D12,IP_0,0,INPUT,,D,12
D13,IO_L01P_0,0,I/O,TRUE,D,13
D14,IO_L23N_1,1,I/O,TRUE,D,14
D15,IO_L22N_1,1,I/O,TRUE,D,15
D16,IO_L22P_1,1,I/O,TRUE,D,16
E1,IO_L03N_3,3,I/O,TRUE,E,1
E2,N.C.,N.C.,N.C.,,E,2
E3,N.C.,N.C.,N.C.,,E,3
E4,IP_L04P_3,3,INPUT,TRUE,E,4
E5,GND,GND,GND,,E,5
E6,IP_0,0,INPUT,,E,6
E7,N.C.,N.C.,N.C.,,E,7
E8,VCCO_0,0,VCCO,,E,8
E9,IP_0/VREF_0,0,VREF,,E,9
E10,N.C.,N.C.,N.C.,,E,10
E11,VCCAUX,VCCAUX,VCCAUX,,E,11
E12,GND,GND,GND,,E,12
E13,IO_L23P_1,1,I/O,TRUE,E,13
E14,IO_L20P_1,1,I/O,TRUE,E,14
E15,VCCO_1,1,VCCO,,E,15
E16,N.C.,N.C.,N.C.,,E,16
F1,IO_L08P_3,3,I/O,TRUE,F,1
F2,GND,GND,GND,,F,2
F3,N.C.,N.C.,N.C.,,F,3
F4,IP_L04N_3/VREF_3,3,VREF,TRUE,F,4
F5,VCCAUX,VCCAUX,VCCAUX,,F,5
F6,GND,GND,GND,,F,6
F7,IP_0,0,INPUT,,F,7
F8,N.C.,N.C.,N.C.,,F,8
F9,IP_0,0,INPUT,,F,9
F10,IP_0,0,INPUT,,F,10
F11,IP_L25N_1,1,INPUT,TRUE,F,11
F12,IP_L25P_1/VREF_1,1,VREF,TRUE,F,12
F13,IO_L20N_1,1,I/O,TRUE,F,13
F14,N.C.,N.C.,N.C.,,F,14
F15,N.C.,N.C.,N.C.,,F,15
F16,N.C.,N.C.,N.C.,,F,16
G1,IO_L08N_3/VREF_3,3,VREF,TRUE,G,1
G2,IO_L11P_3/LHCLK0,3,LHCLK,TRUE,G,2
G3,N.C.,N.C.,N.C.,,G,3
G4,N.C.,N.C.,N.C.,,G,4
G5,N.C.,N.C.,N.C.,,G,5
G6,N.C.,N.C.,N.C.,,G,6
G7,VCCINT,VCCINT,VCCINT,,G,7
G8,GND,GND,GND,,G,8
G9,VCCINT,VCCINT,VCCINT,,G,9
G10,GND,GND,GND,,G,10
G11,IP_L21N_1,1,INPUT,TRUE,G,11
G12,IP_L21P_1/VREF_1,1,VREF,TRUE,G,12
G13,N.C.,N.C.,N.C.,,G,13
G14,N.C.,N.C.,N.C.,,G,14
G15,GND,GND,GND,,G,15
G16,N.C.,N.C.,N.C.,,G,16
H1,IO_L11N_3/LHCLK1,3,LHCLK,TRUE,H,1
H2,VCCO_3,3,VCCO,,H,2
H3,IO_L12P_3/LHCLK2,3,LHCLK,TRUE,H,3
H4,N.C.,N.C.,N.C.,,H,4
H5,N.C.,N.C.,N.C.,,H,5
H6,N.C.,N.C.,N.C.,,H,6
H7,IP_L13P_3,3,INPUT,TRUE,H,7
H8,VCCINT,VCCINT,VCCINT,,H,8
H9,GND,GND,GND,,H,9
H10,IP_L13P_1,1,INPUT,TRUE,H,10
H11,IP_L13N_1,1,INPUT,TRUE,H,11
H12,VCCO_1,1,VCCO,,H,12
H13,N.C.,N.C.,N.C.,,H,13
H14,IO_L14N_1/RHCLK5,1,RHCLK,TRUE,H,14
H15,IO_L15P_1/IRDY1/RHCLK6,1,RHCLK,TRUE,H,15
H16,IO_L15N_1/RHCLK7,1,RHCLK,TRUE,H,16
J1,IO_L14N_3/LHCLK5,3,LHCLK,TRUE,J,1
J2,IO_L14P_3/LHCLK4,3,LHCLK,TRUE,J,2
J3,IO_L12N_3/IRDY2/LHCLK3,3,LHCLK,TRUE,J,3
J4,N.C.,N.C.,N.C.,,J,4
J5,VCCO_3,3,VCCO,,J,5
J6,N.C.,N.C.,N.C.,,J,6
J7,IP_L13N_3,3,INPUT,TRUE,J,7
J8,GND,GND,GND,,J,8
J9,VCCINT,VCCINT,VCCINT,,J,9
J10,N.C.,N.C.,N.C.,,J,10
J11,N.C.,N.C.,N.C.,,J,11
J12,IO_L10P_1,1,I/O,TRUE,J,12
J13,IO_L10N_1,1,I/O,TRUE,J,13
J14,IO_L14P_1/RHCLK4,1,RHCLK,TRUE,J,14
J15,VCCO_1,1,VCCO,,J,15
J16,IO_L12N_1/TRDY1/RHCLK3,1,RHCLK,TRUE,J,16
K1,IO_L15N_3/LHCLK7,3,LHCLK,TRUE,K,1
K2,GND,GND,GND,,K,2
K3,IO_L15P_3/TRDY2/LHCLK6,3,LHCLK,TRUE,K,3
K4,N.C.,N.C.,N.C.,,K,4
K5,IP_L21P_3,3,INPUT,TRUE,K,5
K6,IP_L21N_3,3,INPUT,TRUE,K,6
K7,GND,GND,GND,,K,7
K8,VCCINT,VCCINT,VCCINT,,K,8
K9,GND,GND,GND,,K,9
K10,VCCINT,VCCINT,VCCINT,,K,10
K11,IP_L04P_1,1,INPUT,TRUE,K,11
K12,IP_L04N_1/VREF_1,1,VREF,TRUE,K,12
K13,N.C.,N.C.,N.C.,,K,13
K14,IO_L11N_1/RHCLK1,1,RHCLK,TRUE,K,14
K15,IO_L11P_1/RHCLK0,1,RHCLK,TRUE,K,15
K16,IO_L12P_1/RHCLK2,1,RHCLK,TRUE,K,16
L1,N.C.,N.C.,N.C.,,L,1
L2,N.C.,N.C.,N.C.,,L,2
L3,N.C.,N.C.,N.C.,,L,3
L4,N.C.,N.C.,N.C.,,L,4
L5,IP_L25P_3,3,INPUT,TRUE,L,5
L6,IP_L25N_3/VREF_3,3,VREF,TRUE,L,6
L7,IP_2,2,INPUT,,L,7
L8,IP_2,2,INPUT,,L,8
L9,IP_2/VREF_2,2,VREF,,L,9
L10,IP_2/VREF_2,2,VREF,,L,10
L11,GND,GND,GND,,L,11
L12,VCCAUX,VCCAUX,VCCAUX,,L,12
L13,N.C.,N.C.,N.C.,,L,13
L14,N.C.,N.C.,N.C.,,L,14
L15,GND,GND,GND,,L,15
L16,N.C.,N.C.,N.C.,,L,16
M1,IO_L20P_3,3,I/O,TRUE,M,1
M2,VCCO_3,3,VCCO,,M,2
M3,N.C.,N.C.,N.C.,,M,3
M4,IO_L24N_3,3,I/O,TRUE,M,4
M5,GND,GND,GND,,M,5
M6,VCCAUX,VCCAUX,VCCAUX,,M,6
M7,IP_2/VREF_2,2,VREF,,M,7
M8,IP_2/VREF_2,2,VREF,,M,8
M9,VCCO_2,2,VCCO,,M,9
M10,N.C.,N.C.,N.C.,,M,10
M11,IP_2/VREF_2,2,VREF,,M,11
M12,GND,GND,GND,,M,12
M13,N.C.,N.C.,N.C.,,M,13
M14,N.C.,N.C.,N.C.,,M,14
M15,N.C.,N.C.,N.C.,,M,15
M16,N.C.,N.C.,N.C.,,M,16
N1,IO_L20N_3,3,I/O,TRUE,N,1
N2,IO_L22P_3,3,I/O,TRUE,N,2
N3,IO_L24P_3,3,I/O,TRUE,N,3
N4,IO_L01P_2/M1,2,DUAL,TRUE,N,4
N5,IP_2/VREF_2,2,VREF,,N,5
N6,IO_L03N_2/VS1,2,DUAL,TRUE,N,6
N7,N.C.,N.C.,N.C.,,N,7
N8,IO_L08N_2/D4,2,DUAL,TRUE,N,8
N9,IO_L11P_2/GCLK0,2,GCLK,TRUE,N,9
N10,N.C.,N.C.,N.C.,,N,10
N11,IO_L16N_2,2,I/O,TRUE,N,11
N12,N.C.,N.C.,N.C.,,N,12
N13,IO_L01P_1/HDC,1,DUAL,TRUE,N,13
N14,IO_L01N_1/LDC2,1,DUAL,TRUE,N,14
N15,VCCO_1,1,VCCO,,N,15
N16,IO_L03N_1,1,I/O,TRUE,N,16
P1,IO_L22N_3,3,I/O,TRUE,P,1
P2,IO_L23N_3,3,I/O,TRUE,P,2
P3,GND,GND,GND,,P,3
P4,IO_L01N_2/M0,2,DUAL,TRUE,P,4
P5,IO_L04N_2/VS0,2,DUAL,TRUE,P,5
P6,N.C.,N.C.,N.C.,,P,6
P7,IO_L08P_2/D5,2,DUAL,TRUE,P,7
P8,IO_L10P_2/GCLK14,2,GCLK,TRUE,P,8
P9,IO_L11N_2/GCLK1,2,GCLK,TRUE,P,9
P10,IO_L14P_2/MOSI/CSI_B,2,DUAL,TRUE,P,10
P11,IO_L16P_2,2,I/O,TRUE,P,11
P12,IO_L17N_2/D3,2,DUAL,TRUE,P,12
P13,N.C.,N.C.,N.C.,,P,13
P14,GND,GND,GND,,P,14
P15,IO_L02N_1/LDC0,1,DUAL,TRUE,P,15
P16,IO_L03P_1,1,I/O,TRUE,P,16
R1,IO_L23P_3,3,I/O,TRUE,R,1
R2,IO_L02P_2/M2,2,DUAL,TRUE,R,2
R3,IO_L03P_2/RDWR_B,2,DUAL,TRUE,R,3
R4,VCCO_2,2,VCCO,,R,4
R5,IO_L06P_2,2,I/O,TRUE,R,5
R6,GND,GND,GND,,R,6
R7,N.C.,N.C.,N.C.,,R,7
R8,VCCO_2,2,VCCO,,R,8
R9,IO_L12P_2/GCLK2,2,GCLK,TRUE,R,9
R10,GND,GND,GND,,R,10
R11,IO_L15N_2/DOUT,2,DUAL,TRUE,R,11
R12,VCCO_2,2,VCCO,,R,12
R13,IO_L20P_2/D1,2,DUAL,TRUE,R,13
R14,IO_L20N_2/CCLK,2,DUAL,TRUE,R,14
R15,IO_L02P_1/LDC1,1,DUAL,TRUE,R,15
R16,SUSPEND,VCCAUX,PWRMGMT,,R,16
T1,GND,GND,GND,,T,1
T2,IO_L02N_2/CSO_B,2,DUAL,TRUE,T,2
T3,IO_L04P_2/VS2,2,DUAL,TRUE,T,3
T4,IO_L05P_2,2,I/O,TRUE,T,4
T5,IO_L05N_2/D7,2,DUAL,TRUE,T,5
T6,IO_L06N_2/D6,2,DUAL,TRUE,T,6
T7,N.C.,N.C.,N.C.,,T,7
T8,IO_L10N_2/GCLK15,2,GCLK,TRUE,T,8
T9,IO_L12N_2/GCLK3,2,GCLK,TRUE,T,9
T10,IO_L14N_2,2,I/O,TRUE,T,10
T11,IO_L15P_2/AWAKE,2,PWRMGMT,TRUE,T,11
T12,IO_L17P_2/INIT_B,2,DUAL,TRUE,T,12
T13,IO_L18P_2/D2,2,DUAL,TRUE,T,13
T14,IO_L18N_2/D0/DIN/MISO,2,DUAL,TRUE,T,14
T15,DONE,VCCAUX,CONFIG,,T,15
T16,GND,GND,GND,,T,16
